Key,Author
8SW85SQM,"McClelland, James L"
85QV9X5F,"McClelland, J. L."
85QV9X5F,"McNaughton, B. L."
85QV9X5F,"O'Reilly, R. C."
Z4X6DT6N,"Ratcliff, R."
F5DGU3Q4,"McCloskey, M."
F5DGU3Q4,"Cohen, N. J."
PNGQMCP5,"Buciluǎ, Cristian"
PNGQMCP5,"Caruana, Rich"
PNGQMCP5,"Niculescu-Mizil, Alexandru"
NKN8BJMZ,"Rigamonti, Roberto"
NKN8BJMZ,"Sironi, Amos"
NKN8BJMZ,"Lepetit, Vincent"
NKN8BJMZ,"Fua, Pascal"
EWIHJU4R,"Denil, Misha"
EWIHJU4R,"Shakibi, Babak"
EWIHJU4R,"Dinh, Laurent"
EWIHJU4R,"Ranzato, Marc'Aurelio"
EWIHJU4R,"Freitas, Nando de"
VE8MQ378,"Coates, Adam"
VE8MQ378,"Huval, Brody"
VE8MQ378,"Wang, Tao"
VE8MQ378,"Wu, David"
VE8MQ378,"Catanzaro, Bryan"
VE8MQ378,"Andrew, Ng"
CFKZSBNQ,"Brakel, Philémon"
CFKZSBNQ,"Stroobandt, Dirk"
CFKZSBNQ,"Schrauwen, Benjamin"
R5V4PFPP,"Ising, E."
TC545KQV,
XAHVRAS6,
A3F3BZ3H,"Mandel, Michael"
A3F3BZ3H,"Pascanu, Razvan"
A3F3BZ3H,"Eck, Douglas"
A3F3BZ3H,"Bengio, Yoshua"
A3F3BZ3H,"Aeillo, L. M."
A3F3BZ3H,"Schifanella, R."
A3F3BZ3H,"Menczer, F."
M6FBCX32,"Franzius, Mathias"
M6FBCX32,"Wilbert, Niko"
M6FBCX32,"Wiskott, Laurenz"
7PJ3MD3W,"Diaconis, Persi"
7PJ3MD3W,"Efron, Bradley"
6X2NNXRA,"Polak, E."
6X2NNXRA,"Ribiere, G."
ATSR5RAJ,"Debye, P.J.W."
KI9IITMJ,"Gould, Stephen"
KI9IITMJ,"Russakovsky, Olga"
KI9IITMJ,"Goodfellow, Ian"
KI9IITMJ,"Baumstarck, Paul"
KI9IITMJ,"Ng, Andrew Y"
KI9IITMJ,"Koller, Daphne"
TS8BD5B5,"Bradski, G."
RI2NVDQ3,"Pedregosa, F."
RI2NVDQ3,"Varoquaux, G."
RI2NVDQ3,"Gramfort, A."
RI2NVDQ3,"Michel, V."
RI2NVDQ3,"Thirion, B."
RI2NVDQ3,"Grisel, O."
RI2NVDQ3,"Blondel, M."
RI2NVDQ3,"Prettenhofer, P."
RI2NVDQ3,"Weiss, R."
RI2NVDQ3,"Dubourg, V."
RI2NVDQ3,"Vanderplas, J."
RI2NVDQ3,"Passos, A."
RI2NVDQ3,"Cournapeau, D."
RI2NVDQ3,"Brucher, M."
RI2NVDQ3,"Perrot, M."
RI2NVDQ3,"Duchesnay, E."
WI6NM924,"Raiko, Tapani"
WI6NM924,"Valpola, Harri"
WI6NM924,"LeCun, Yann"
FMU2U4V8,"Vatanen, Tommi"
FMU2U4V8,"Raiko, Tapani"
FMU2U4V8,"Valpola, Harri"
FMU2U4V8,"LeCun, Yann"
4UM4A9AW,"Sermanet, Pierre"
4UM4A9AW,"Chintala, Soumith"
4UM4A9AW,"LeCun, Yann"
7A3EAFVP,"Liapis, A."
7A3EAFVP,"Yannakakis, G.N."
7A3EAFVP,"Togelius, J."
ZHKBIH8S,"Togelius, J."
ZHKBIH8S,"De Nardi, R."
ZHKBIH8S,"Lucas, S.M."
D9KDW5VU,"Liapis, A."
D9KDW5VU,"Yannakakis, G.N."
D9KDW5VU,"Togelius, J."
539TF4S3,"Yannakakis, Georgios N"
539TF4S3,"Hallam, John"
CJ2R46VQ,"Yannakakis, G.N."
CJ2R46VQ,"Togelius, J."
MIQXC8BG,"Togelius, Julian"
MIQXC8BG,"Yannakakis, GeorgiosN."
MIQXC8BG,"Stanley, KennethO."
MIQXC8BG,"Browne, Cameron"
GPMUS4FN,"Pedersen, C."
GPMUS4FN,"Togelius, J."
GPMUS4FN,"Yannakakis, G.N."
W4KPQ4GH,"Jones, Karen Spärck"
ZWN7DQUQ,"Weiss, Yair"
ZWN7DQUQ,"Torralba, Antonio"
ZWN7DQUQ,"Fergus, Robert"
ASEBJMIN,"Salakhutdinov, Ruslan"
ASEBJMIN,"Hinton, Geoffrey"
UNWPNM47,"Salakhutdinov, Ruslan"
UNWPNM47,"Hinton, Geoffrey"
MGDMWT79,"Robbins, Herbert"
MGDMWT79,"Monro, Sutton"
V3NP9T6S,"Robbins, Herbert"
V3NP9T6S,"Monro, Sutton"
E8EB25RI,"Dailey, Matthew N."
E8EB25RI,"Cottrell, Garrison W."
E8EB25RI,"Padgett, Curtis"
E8EB25RI,"Adolphs, Ralph"
Z9H5PUGU,"Ranzato, Marc'Aurelio"
Z9H5PUGU,"Susskind, Joshua"
Z9H5PUGU,"Mnih, Volodymyr"
Z9H5PUGU,"Hinton, Geoffrey E."
ZBZX5AHD,"Ranzato, M."
ZBZX5AHD,"Krizhevsky, A."
ZBZX5AHD,"Hinton, G. E."
IZPARSVV,"Klöckner, Andreas"
IZPARSVV,"Pinto, Nicolas"
IZPARSVV,"Lee, Yunsup"
IZPARSVV,"Catanzaro, B."
IZPARSVV,"Ivanov, Paul"
IZPARSVV,"Fasih, Ahmed"
SP4K4PND,"Mnih, Volodymyr"
JNMVNH8A,"Hoberock, Jared"
JNMVNH8A,"Bell, Nathan"
THM6H8C7,
C53J6VUX,"Tieleman, Tijmen"
QKN2RGKE,"Oliphant, Travis E."
AJ6SKRQF,"Trebar, Mira"
AJ6SKRQF,"Steele, Nigel"
ZAT97BSR,"Baldi, Pierre"
ZAT97BSR,"Sadowski, Peter J."
EAD2AC43,"Blitzer, John"
EAD2AC43,"McDonald, Ryan"
EAD2AC43,"Pereira, Fernando"
SDMHQN2X,"Ranzato, M."
SDMHQN2X,"Mnih, V."
SDMHQN2X,"Hinton, G."
M54PZ67B,"Ranzato, M."
M54PZ67B,"Mnih, V."
M54PZ67B,"Hinton, G."
QXABMDDU,"Bengio, Yoshua"
QXABMDDU,"Delalleau, Olivier"
WXNP265V,"Bergstra, James"
WXNP265V,"Bengio, Yoshua"
FC8GSQMF,"Bergstra, James"
FC8GSQMF,"Breuleux, Olivier"
FC8GSQMF,"Bastien, Frédéric"
FC8GSQMF,"Lamblin, Pascal"
FC8GSQMF,"Pascanu, Razvan"
FC8GSQMF,"Desjardins, Guillaume"
FC8GSQMF,"Turian, Joseph"
FC8GSQMF,"Warde-Farley, David"
FC8GSQMF,"Bengio, Yoshua"
N7D39C9J,"Bergstra, James"
N7D39C9J,"Breuleux, Olivier"
N7D39C9J,"Bastien, Frédéric"
N7D39C9J,"Lamblin, Pascal"
N7D39C9J,"Pascanu, Razvan"
N7D39C9J,"Desjardins, Guillaume"
N7D39C9J,"Turian, Joseph"
N7D39C9J,"Warde-Farley, David"
N7D39C9J,"Bengio, Yoshua"
BTB5V5R8,"Braverman, Mark"
ZR2UZHNZ,"Braverman, Mark"
CHEZGHVQ,"Larochelle, Hugo"
CHEZGHVQ,"Murray, Ian"
V9I7JJPN,"Larochelle, Hugo"
V9I7JJPN,"Murray, Ian"
87MNZSVQ,"Larochelle, H."
87MNZSVQ,"Murray, I."
QZGTMVMC,"Behrens, G."
QZGTMVMC,"Friel, N."
QZGTMVMC,"Hurn, M."
SG66ZID9,"Bennett, C."
XJFCVDZN,"Bergstra, J."
XJFCVDZN,"Bengio, Y."
XJFCVDZN,"Louradour, J."
H2ZMD3RE,"Bergstra, J."
H2ZMD3RE,"Bengio, Y."
H2ZMD3RE,"Louradour, J."
6TP2WHXH,"Chapados, N."
6TP2WHXH,"Bengio, Y."
ATN5QR6U,"Chapados, N."
ATN5QR6U,"Bengio, Y."
KRRMPQ6B,"J, Grother Patrick"
SH38BUIF,"Trentin, E."
SH38BUIF,"Brugnara, F."
SH38BUIF,"Bengio, Y."
SH38BUIF,"Furlanello, C."
SH38BUIF,"Mori, R. De"
N7MN2ZPZ,"Bengio, Y."
N7MN2ZPZ,"Grandvalet, Y."
9VZBTIP5,"Desjardins, Guillaume"
9VZBTIP5,"Courville, Aaron"
9VZBTIP5,"Bengio, Yoshua"
35EE4FP4,"Desjardins, G."
35EE4FP4,"Courville, A."
35EE4FP4,"Bengio, Y."
9J5ZQXUS,"Desjardins, G."
9J5ZQXUS,"Courville, A."
9J5ZQXUS,"Bengio, Y."
4PG6UVXR,"Bergstra, James"
4PG6UVXR,"Cox, David D."
XQ2FUN45,"Romaszko, Lukasz"
P5TWA325,"Lee, Dong-Hyun"
J5CJQGFD,"Xie, Jingjing"
J5CJQGFD,"Xu, Bing"
J5CJQGFD,"Chuang, Zhang"
SBVX2MSU,"Ionescu, Radu Tudor"
SBVX2MSU,"Popescu, Marius"
SBVX2MSU,"Grozea, Cristian"
7XCM8QV9,"Tang, Yichuan"
U2M58CMI,"Feng, Fangxiang"
U2M58CMI,"Li, Ruifan"
U2M58CMI,"Wang, Xiaojie"
EHX76ZRB,"Netzer, Y."
EHX76ZRB,"Wang, T."
EHX76ZRB,"Coates, A."
EHX76ZRB,"Bissacco, A."
EHX76ZRB,"Wu, B."
EHX76ZRB,"Ng, A. Y."
WSZ7J6KM,"Jia, Yangqing"
WSZ7J6KM,"Huang, Chang"
KUMCIRV5,"Denil, Misha"
KUMCIRV5,"de Freitas, Nando"
URFUCF27,"Dugas, C."
URFUCF27,"Bengio, Y."
URFUCF27,"Chapados, N."
URFUCF27,"Vincent, P."
URFUCF27,"Denoncourt, G."
URFUCF27,"Fournier, C."
UC564N3Z,"Dugas, C."
UC564N3Z,"Bengio, Y."
UC564N3Z,"Chapados, N."
UC564N3Z,"Vincent, P."
UC564N3Z,"Denoncourt, G."
UC564N3Z,"Fournier, C."
CAUNBNBI,"Collobert, R."
CAUNBNBI,"Bengio, Y."
CAUNBNBI,"Bengio, S."
BUZE5VUZ,"Collobert, R."
BUZE5VUZ,"Bengio, Y."
BUZE5VUZ,"Bengio, S."
WEQVPRZB,"Collobert, R."
WEQVPRZB,"Bengio, Y."
WEQVPRZB,"Bengio, S."
WBBVWTFP,"Collobert, R."
WBBVWTFP,"Bengio, Y."
WBBVWTFP,"Bengio, S."
CBTGRF64,"Bengio, Y."
CBTGRF64,"Chapados, N."
FCJZKBUW,"Bengio, Y."
FCJZKBUW,"Takeuchi, I."
FCJZKBUW,"Kanamori, K."
78CWCRSN,"Bengio, Y."
78CWCRSN,"Takeuchi, I."
78CWCRSN,"Kanamori, K."
22QFB9V8,"Collobert, R."
22QFB9V8,"Bengio, S."
22QFB9V8,"Bengio, Y."
3WBE8DVG,"Bhattacharya, I."
3WBE8DVG,"Getoor, L."
3WBE8DVG,"Bengio, Y."
JKR7UBA9,"Boufaden, N."
JKR7UBA9,"Bengio, Y."
JKR7UBA9,"Lapalme, G."
RDU3A5AV,"Boufaden, N."
RDU3A5AV,"Lapalme, G."
RDU3A5AV,"Bengio, Y."
AFEU66IA,"Rivest, F."
AFEU66IA,"Bengio, Y."
AFEU66IA,"Kalaska, J."
K4AX9RVB,"Y, Y. Bengio"
K4AX9RVB,"Grandvalet, Y."
TNCM4E8Q,"Y, Y. Bengio"
TNCM4E8Q,"Grandvalet, Y."
SS2M9KRC,"Mandelbrot, B."
FZTR2PN3,"Fama, E. F."
6EGSPXMD,"Corless, R. M."
6EGSPXMD,"Gonnet, G. H."
6EGSPXMD,"Hare, D. E. G."
6EGSPXMD,"Jeffrey, D. J."
6EGSPXMD,"Knuth, D. E."
25TQKEPC,"Embrechts, P."
25TQKEPC,"Kluppelberg, C."
25TQKEPC,"Mikosch, T."
R95MKAC2,"Kang, S."
R95MKAC2,"Serfozo, R. F."
SMAVZWIZ,"Douglas, Scott"
SMAVZWIZ,"Amari, Shun-Ichi"
SMAVZWIZ,"Kung, S.-Y."
BTSAN6BN,"Abdallah, Samer"
BTSAN6BN,"Plumbley, Mark"
2QQJWKSH,"Abe, N."
2QQJWKSH,"Warmuth, M. K."
PI75W2Z6,"Abu-Mostafa, Y. S."
P7EVF5K6,"Abu-Mostafa, Y. S."
P7EVF5K6,"Psaltis, D."
